library_id,rm_id,input_ng,enrich_kit,preparation_kit,fragment_method,fragment_selection,fragment_range,pcr_cycle,preparation_date,spike_in,qc_concentration,qc_size,preparation_method,experiment,batch,preparation_site,stranded
library_GSM1156797,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156798,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156799,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156800,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156801,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156802,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156803,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156804,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156805,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156806,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156807,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156808,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156809,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156810,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156811,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156812,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156813,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156814,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156815,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156816,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156817,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156818,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156819,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156820,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156821,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156822,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156823,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156824,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156825,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156826,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156827,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156828,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156829,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156830,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156831,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156832,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156833,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156834,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156835,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156836,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156837,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156838,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156839,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156840,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156841,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156842,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156843,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156844,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156845,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156846,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156847,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156848,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156849,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156850,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156851,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156852,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156853,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156854,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156855,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156856,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156857,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156858,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156859,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156860,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156861,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156862,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156863,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156864,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156865,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156866,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156867,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156868,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156869,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156870,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156871,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156872,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156873,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156874,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156875,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156876,Sample A,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 1,,,PolyA,GSE47774,,NA,
library_GSM1156877,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156878,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156879,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156880,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156881,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156882,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156883,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156884,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156885,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156886,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156887,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156888,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156889,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156890,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156891,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156892,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156893,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156894,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156895,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156896,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156897,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156898,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156899,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156900,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156901,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156902,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156903,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156904,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156905,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156906,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156907,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156908,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156909,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156910,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156911,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156912,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156913,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156914,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156915,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156916,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156917,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156918,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156919,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156920,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156921,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156922,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156923,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156924,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156925,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156926,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156927,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156928,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156929,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156930,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156931,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156932,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156933,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156934,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156935,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156936,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156937,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156938,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156939,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156940,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156941,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156942,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156943,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156944,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156945,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156946,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
library_GSM1156947,Sample B,250,,Illumina TruSeq RNA Sample Preparation Kit,94 C for 8 minutes,YES,200-500 bp,15,,ERCC Mix 2,,,PolyA,GSE47774,,NA,
